username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-11-07 23:21;5;0;"Brahim Ghali SG de la guérilla algérienne # polisario poursuivi à # Madrid pour crimes contre l’humanité&abus sexuels # Metoo # BalanceTonPorc pic.twitter.com/4UdSqbqfHO";;;# # # #;"928024558489174022";https://twitter.com/CORCAS_AUTONOMY/status/928024558489174022
;2017-11-07 23:20;0;1;"Et dans 5 minutes dans "L'heure des pros", l'avis de DSK sur # balancetonporc https://twitter.com/Projet_Arcadie/status/928019475307393028 …";;;#;"928024425605271552";https://twitter.com/AntoineRondel/status/928024425605271552
;2017-11-07 23:20;0;1;"Perso quand je vois des profils de porcs qui harcèlent l'islam et les musulmans, je bloque # balancetonporc";;;#;"928024386417889282";https://twitter.com/AdeleacheH/status/928024386417889282
;2017-11-07 23:20;0;0;"http://www.fdesouche.com/903845-le-philosophe-edgar-morin-defend-tariq-ramadan-et-declare-le-christianisme-est-plus-intolerant-que-lisla … Edgar Morin s'y met aussi à le defendre. C'est vrai qu'il va en avoir besoin du brossage pour faire reluire ses poils de porc... # balancetonporc # TariqRamadan";;;# #;"928024372148887553";https://twitter.com/polidor245/status/928024372148887553
;2017-11-07 23:19;0;0;"# balancetonporc !! ah non mince pas là...";;;#;"928024149536198657";https://twitter.com/CosmoPolype/status/928024149536198657
;2017-11-07 23:13;1;1;"# balancetonporc pic.twitter.com/iXUuSofHSW";;;#;"928022548486516742";https://twitter.com/utopiageo/status/928022548486516742
;2017-11-07 23:12;0;0;"# balancetonporc Ah merde c'est pas le même porc... pic.twitter.com/5PEY9gihKP";;;#;"928022437161263104";https://twitter.com/PhilouGanJaDub5/status/928022437161263104
;2017-11-07 23:09;0;0;"# BalanceTonPorc";;;#;"928021545154482178";https://twitter.com/opak95/status/928021545154482178
;2017-11-07 23:09;0;3;"- j’ai eu de la chance je n’ai jamais eu de # balancetonporc - Et le mec qui t’a mis la main au cul rue St Dominique? - Ah oui c’est vrai!";;;#;"928021517673353216";https://twitter.com/LawraProut/status/928021517673353216
;2017-11-07 23:08;0;0;"# metoo # balancetonporc # sexualharassment # notcool # educate # changementalities # enoughnowpic.twitter.com/nehBAGlfUe";;;# # # # # # #;"928021276677099520";https://twitter.com/MaddyJoy_/status/928021276677099520
;2017-11-07 23:06;0;0;"# balanceTonPorc https://www.pscp.tv/w/bNDUSDFQbUtxb01yTnFFb1l8MWRqeFhNeXdkWnZLWvkEE0whnvt4tDm2RU_VrxvJSsuekS2H7EG5ltgxtCJ5 …";;;#;"928020739655024640";https://twitter.com/invitesdugame/status/928020739655024640
;2017-11-07 23:00;0;1;"Je couuuuur vers un mur et j'écris au stylo bic " # balancetonporc" et jui dis et baaaam kestu va faiiire mtn???? https://twitter.com/prunelledudin/status/928011635540873219 …";;;#;"928019228485128192";https://twitter.com/nohoee_/status/928019228485128192
;2017-11-07 22:53;0;0;"Et puis surtout nike les féministes j'vous croisé dans la rue j'vous écrase, la honte pour vous de mourir écrasé par une Ford Ka # BalanceTonForum # balancetonporc";;;# #;"928017664131268608";https://twitter.com/jj_godman/status/928017664131268608
;2017-11-07 22:49;0;0;"Kevin Spacey : trois nouvelles accusations de harcèlement sexuel à son encontre # MeToo # BalanceTonPorc http://bit.ly/2zikLAN pic.twitter.com/3et78DFEne";;;# #;"928016478888169473";https://twitter.com/FadUrban/status/928016478888169473
;2017-11-07 22:47;1;0;"Les femmes sont universelles # EcritureInclusive # balancetonporc # MeToo # sexismehttps://blogs.mediapart.fr/aur-elia/blog/071117/les-femmes-sont-universelles …";;;# # # #;"928016022333947904";https://twitter.com/aureton/status/928016022333947904
;2017-11-07 22:44;0;5;"Les victimes avaient peur de porter plainte ! T’es fière de le soutenir ? # balancetonporc # TariqRamadan";;;# #;"928015296316739590";https://twitter.com/sevy33/status/928015296316739590
;2017-11-07 22:44;0;0;"C pg tu m'as insulter donc tu es une # balancetonporc";;;#;"928015211797401604";https://twitter.com/Le_FeuFoullet/status/928015211797401604
;2017-11-07 22:43;0;2;"# BalanceTonPorc";;;#;"928014952199225344";https://twitter.com/eiohai/status/928014952199225344
;2017-11-07 22:40;2;3;"Catherine Millet plaint les femmes laides ou âgées qu'on n'a pas "envie de harceler sexuellement" # balancetonporc # metoo via @ johannaluyssenpic.twitter.com/qYW9jeneYp";;@;# #;"928014344809598977";https://twitter.com/gaellombart/status/928014344809598977
;2017-11-07 22:40;2;7;"Niquez vos mères avec les # balancetonporc , # BalanceTonForum et # BalanceTonRaciste vous polluez Twitter et vous cassez les couilles !!!";;;# # #;"928014310802116608";https://twitter.com/Diveuz/status/928014310802116608
;2017-11-07 22:39;0;4;"# balancetonporc https://twitter.com/Woof2017/status/928009529547264000 …";;;#;"928014172671107077";https://twitter.com/france_hockey/status/928014172671107077
;2017-11-07 22:39;1;4;"Témoignage d'empêcheuse # balancetonporc pic.twitter.com/UwBMpHkmeC";;;#;"928014124637933570";https://twitter.com/Lempecheuse/status/928014124637933570
;2017-11-07 22:35;0;0;"# balancetonporc https://twitter.com/fallinglikesky/status/928010203227983872 …";;;#;"928013049394548747";https://twitter.com/fallinglikesky/status/928013049394548747
;2017-11-07 22:23;0;2;"# balancetonporc # denoncetonporc et il te demande parfois de lui présenter tes excuses # Joxe @ MarleneSchiappa # weinsteinscandal";;@;# # # #;"928010109757853698";https://twitter.com/lostontranslati/status/928010109757853698
;2017-11-07 22:20;0;2;"# FlavieFlament à ce rythme la ce n'est plus # balancetonporc mais # balancetamere abusé";;;# # #;"928009248403009536";https://twitter.com/MarvinIfri/status/928009248403009536
;2017-11-07 22:17;22;33;"Quand c’est des vieux degueu c’est # balancetonporc mais Ed Westwick c’est « lol on a pas de preuves » bande de folles";;;#;"928008538064027648";https://twitter.com/GiirlHasNoName_/status/928008538064027648
;2017-11-07 22:06;0;0;"Wesh c'est bon tous les mecs c'est des violeurs à croire. # balancetonporc";;;#;"928005704572637190";https://twitter.com/EbuSimseker/status/928005704572637190
;2017-11-07 22:00;0;0;"C’est vraiment un acharnement de la part d’idiot. Faut les mettre en soins psychologiques les mecs là ! # # balancetonporc https://twitter.com/henda_ayari/status/927973804638375936 …";;;# #;"928004202470789121";https://twitter.com/julian_reltseor/status/928004202470789121
;2017-11-07 21:58;0;0;"# BalanceTaRacaille # balancetonporc";;;# #;"928003858651066368";https://twitter.com/_Esquerdo_/status/928003858651066368
;2017-11-07 21:56;1;1;"# balancetonporc ... Rien a ajouter ... https://twitter.com/jegoun/status/927996978172219393 …";;;#;"928003292570976256";https://twitter.com/MANGADO1/status/928003292570976256
;2017-11-07 21:55;5;2;"Mais selon nos médias, le # RacismeAntiBlanc dont bien des femmes sont victimes, n'existe pas. # BalanceTonPorc pic.twitter.com/uKRtrgfOAX";;;# #;"928002980846161920";https://twitter.com/DamienMonchau/status/928002980846161920
;2017-11-07 21:52;0;1;"Les gens qui disent "je défends pas Ed Westick mais" c'est comme ceux qui disent "je suis pas raciste mais"... # balancetonporc";;;#;"928002325758783490";https://twitter.com/GraphicsNeptune/status/928002325758783490
;2017-11-07 21:50;0;1;"Ta dit mytho a toute les personnes de # balancetonporc ?";;;#;"928001774304284673";https://twitter.com/GraphicsNeptune/status/928001774304284673
;2017-11-07 21:48;8;1;"Lâche Racaille qui frappe à plusieurs reprises Jeune fille pour des Broutilles Féministes ont s'indignent # balancetonporc # RacismeAntiBlanchttps://twitter.com/DamienRieu/status/927987726422626305 …";;;# #;"928001353661677568";https://twitter.com/BBR4369/status/928001353661677568
;2017-11-07 21:48;1;2;"La couverture du livre de @ rosemcgowan # balancetonporc # ExposeYourPig # weinsteinscandalpic.twitter.com/i2UBeFbIgK";;@;# # #;"928001107955191808";https://twitter.com/LettreAudio/status/928001107955191808
;2017-11-07 21:41;0;1;"Ou alors, quelqu'un a fait un # balanceTonPorc suite à ça :P";;;#;"927999374961070084";https://twitter.com/mikaelrandy/status/927999374961070084
;2017-11-07 21:35;0;0;"# balancetonporc the only one to be massively slapped is @ TariqRamadan - not sure why, an idea though - the others can peacefully sleep # fail";;@;# #;"927998028551684098";https://twitter.com/glehallier/status/927998028551684098
;2017-11-07 21:31;8;4;"Alors que la question porte sur la question de la campagne # BalanceTonPorc Pascal Praud fait tout pour dévier le... http://fb.me/1niNHOweu";;;#;"927996832999002112";https://twitter.com/Islametinfo/status/927996832999002112
;2017-11-07 21:27;0;1;"# balancetonporc";;;#;"927996024790093826";https://twitter.com/Pr_Khao/status/927996024790093826
;2017-11-07 21:24;0;0;"# balancetonporc pic.twitter.com/VFMa3J3JGO";;;#;"927995228899901440";https://twitter.com/MrpepsO/status/927995228899901440
;2017-11-07 21:23;0;0;"On a raison de soutenir # balancetonporc. # cashinvestigation en dévoile d'autres, qui font eux 70 millions de violés.";;;# #;"927994832995471360";https://twitter.com/Sam_Arrive_Pas/status/927994832995471360
;2017-11-07 21:21;0;1;"j'ai deux # BalanceTonPorc ce soir.";;;#;"927994558465695744";https://twitter.com/21novacaine/status/927994558465695744
;2017-11-07 21:17;0;0;"@ LDH_Fr @ Femen_France @ _LICRA_ une remarque peut-être ? Non ? # balancetonporc https://twitter.com/DamienRieu/status/927987726422626305 …";;@ @ @;#;"927993321942929410";https://twitter.com/Kampuchea/status/927993321942929410
;2017-11-07 21:17;0;0;"Apres # balancetonporc # balancetonatp # ATP # ATPNextGen Les joueurs devaient tirer/choisir des femmeshttp://www.eurosport.fr/tennis/malaise-autour-du-tirage-au-sort-du-masters-next-gen-l-atp-presente-ses-excuses_sto6401750/story.shtml …";;;# # # #;"927993312774119424";https://twitter.com/JLambert1985/status/927993312774119424
;2017-11-07 21:15;0;1;"# balancetonporc is made to show the extent of the problem in France, can you please use # outyourpig instead if you do not live in France?";;;# #;"927992901203824642";https://twitter.com/gridindriing/status/927992901203824642
;2017-11-07 21:12;0;2;"Aller @ EliseLucet fait nous kiffer !!! # CashInvestigation # ParadisePapers # PLS # rt # COP23 # MeToo # balancetonporc # balancetout";;@;# # # # # # # #;"927992153271361536";https://twitter.com/Jeuditous/status/927992153271361536
;2017-11-07 21:08;0;0;"Et la liste s'allonge # balancetonporc https://twitter.com/seasonpremiere_/status/927929772600123397 …";;;#;"927991216100331520";https://twitter.com/AD__IT/status/927991216100331520
;2017-11-07 21:06;0;1;"le # balancetonporc il m'a fuuumé mtdrrrr";;;#;"927990754030612480";https://twitter.com/viktorisdead/status/927990754030612480
;2017-11-07 21:04;0;0;"beau ou pas il est accusé point. après c'est à la justice de demeler le faux du vrai pas à nous! # balancetonporc # violeurtropbeauinnocent?";;;# #;"927990237388828673";https://twitter.com/Lauralboran23/status/927990237388828673
;2017-11-07 21:02;0;0;"# balancetonporc faut arrêter avec cette nouvelle mode.. 20 ans après les gens se reveille.. ya des histoires louches";;;#;"927989705735593984";https://twitter.com/angelicamodel38/status/927989705735593984
;2017-11-07 21:00;0;0;"# balancetonporc";;;#;"927989217774280704";https://twitter.com/FrancisVenciton/status/927989217774280704
;2017-11-07 21:00;0;0;"Le mouvement # balancetonporc et la folie des dénonciations aux USA, en ce moment, ouvrent des portes aux opportunistes. https://twitter.com/ersatzhx/status/927988803184275456 …";;;#;"927989214083473409";https://twitter.com/ersatzhx/status/927989214083473409
;2017-11-07 20:56;3;3;"Il paraît que Catherine Millet dit des trucs affreux sur # Balancetonporc et # MeToo sur France Inter. Hélas, comme d'habitude...";;;# #;"927988234730254338";https://twitter.com/johannaluyssen/status/927988234730254338
